target,text,自我导向,刺激,享乐主义,成就,权力,安全,传统,遵从,慈善,大同主义
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈，这小伙踢得“准”，如果去踢足球也不错吧,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,正道的光 照到了地铁上真的很解气啊 啊哈哈哈哈,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈，有勇有谋，正好可以给他长长记性，素质太差了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然把别人的鞋子踢出地铁车厢外是一件非常没有道德的行为，但是对于这种在车上脱鞋的人就应该提倡大家这么做,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然我做不到，但支持这样做,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈哈，干的漂亮！！！就要让这种人长点儿记性——实际上，也做到了手下留情：只是把鞋踢到了站台上，这样，当众脱鞋的那人完全可以在下一站下车，然后，到对面坐车回这站，把鞋捡回去,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,支持别人家孩子，不支持我家孩子，怕被打,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我只能说干得漂亮，只有在这些人年轻时候遭遇过社会的毒打，才不会放任其老了变成野蛮大爷恶大妈,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然不建议这样做，但是地铁上拖鞋有点没素质了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,各打五十大板吧,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这样做就对了不能惯他们这毛病没素质的就该受罚，受罪 还要对他们罚款，教育他们守规矩,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,踢的好，干的漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然不建议这样做，但是地铁上脱鞋有点没素质了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈，这种事见过四五次了，那些人没鞋咋回家的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,看的好爽，这种真的很不尊重人,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有点过激，不过脱鞋的行为确实有点可气！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,人也该踢出去,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然说很不道德，但是就是特别的帅,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然但是看着很解气呀，有些人你跟他说不好使就得用魔法打败魔法毕竟这种人他本身素质就不好，影响的是整车人所以这个好汉干的漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈做了我不敢做的事笑不活了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,很简单，解决了脚臭问题，就不存在脱不脱鞋问题了在南亚地区国家，人人都穿人字拖，就不存在脱不脱鞋问题,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,建议地铁上出一条新规定，有人脱鞋其他人有权利把他的鞋踢出去，并对踢鞋人提供法律保障,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,现在的人真是自我，谁也不惯着谁！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,你不喜欢就要损坏其他公民的财物，那别人也可以为了保护财物打你？？？城管也可以为了疏通道路而踢翻摊贩？？？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然说踢鞋下车的人做法欠妥，但是在地铁上脱鞋，别人劝说还不改那就是自找的了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,劝不了的，这就这素质你还想跟他讲理，别让他打了或记仇了，就得这么干,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,女乘客？看不太清，这种踢法不妥吧，应该当面批评教育啊,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场合真的要注意一下,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈，踢的真快，别人都没反应过来估计,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,脱鞋的行为不好，踢鞋的行为不对,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得漂亮，就该管管这些人,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,支持这些人心里是知道会招人烦的，就是因为没有代价才会我行我素没皮没脸的人都不怕谴责,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这很难评，一时不知道谁素质更差,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场所还是要注意虽然这么做可能不当，但是不得不说很解气一般有脸在地铁车厢这么干的人，你劝他是不会听的，甚至还可能打你骂你,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,只想说干的漂亮，恶人不能惯着！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,谁走路一直看地面呀，一定是不小心的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈哈哈哈，鞋子踢出就完了吗，应该把人也踢出去,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,对待流氓最好的方式，就是用更流氓的方式去征服,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,支持 应该这么做,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干了我一直想干的事，在公共车辆脱鞋的迟早给你干飞,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,下车乘客只是不小心踢到了吧……嗯，肯定是的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这不是段子吧！网上以前老是出现这样的事情，以后高铁出现这种情况，也可以模仿一下,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,  叫你脱鞋，叫你脱鞋，下次还敢不？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得好急着下车不小心把鞋带出去了也不犯法啊,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,？这个热搜想说明啥？就行为来说乱扔垃圾确实没素质，作为良好公民可以帮他扔进垃圾桶，其他含义暂时没看出来,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,大快人心啊,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我能说干的非常漂亮吗？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有没有道德心，这里是公共场所不是你自己家，想干嘛就干嘛，把他鞋踢出算轻的，就应该把他人也拖出去，给他好好上一课,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,针对这种没素质的人，不至于打他骂他，把他鞋子踢出去给他找点麻烦就是最好的处理方法了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这是摆拍，双方拍完愉快结束，一旦有人在现实中模仿，你看后续会不会涉及到赔偿～摆拍请注明！ 另外，如此踢法，一旦不小心鞋子掉进轨道，那就影响地铁运行了～,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我能不能说干的漂亮公共场合，还是要注意影响的，不想穿鞋就光着脚吧,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这位大哥好胆识，我不行我看到这种人嫌脏,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然这么做不大好，但是挺解气之前坐地铁的时候，有一次也遇见一个人在地铁里脱鞋，那味道…酸爽但我不敢这么做,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干的漂亮！希望脱鞋男的能长点记性！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,啥也不说了 干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干的漂亮啊，踢下车就跑抓不到哈哈哈哈哈哈，算是见义勇为了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,偶尔就看到类似的报道，虽然做得有点过，但是倒也让人舒服！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得漂亮！对待缺德之人，不必讲道理,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,做一个有素质的人，有这么难吗？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,作为公共环境内，一些影响观瞻的行为应该得以制止，作为一个公民应遵守这些规则如果没有这方面的素质，当教育的就得教育，或者总会有人来教育,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,如果鞋里进小石子，脱一下就穿上倒没啥一直脱着熏人，被踢活该,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈，笑死，我喜欢这种艺高人胆大的人，想知道那位脱鞋的乘客现在是尴尬还是骂娘,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,地铁上脱鞋子，是一种不文明的行为，在公共场合还是要注意自己的言行举止，希望能引起重视，做个文明的人,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 就要这样，让他吃点暗苦，以后就能长点记性,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这和加塞把人撞翻一样，不可取  应该先提示，对方不听话再采取措施也可以,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,平心静气看，踢鞋确实不当；设身处地想，不少人可能都会有踢鞋的念头看看公共空间的表现，就知道整个社会素质提升的空间大到超出了想象,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,"""""现在的孩子们，从整顿职场开始到整顿社会强调社会公平正义",1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 虽然做法不地道，但是我喜欢这次的不地道,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,活该！踢得好！对这种违背公德良俗的人就应该这样！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我也想这么干，但是我没有勇气干出来,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,偶尔就看到类似的报道，虽然做得有点过，但是倒也让人舒服！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 看着很爽有些人在公共场合的低素养行为，可能并非不知道不妥，而是心理阴暗，觉得让人膈应有一种快感,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得漂亮，对于这种没素质的人就得这么干～,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干的漂亮啊，踢下车就跑抓不到哈哈哈哈哈哈，算是见义勇为了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这个时间点卡得好,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干的漂亮！希望脱鞋男的能长点记性！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 哪怕作为律师，我也分不清这是侵权行为还是自力救济,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,没素质的遇到一个更没素质的，不得不说一句，干的漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这位大哥好胆识，我不行我看到这种人嫌脏,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,大庭广众脱鞋子一点公德心没有，你做初一人家才做十五嘛，没啥不好的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,针对这种没素质的人，不至于打他骂他，把他鞋子踢出去给他找点麻烦就是最好的处理方法了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,不得不说，干得漂亮，解气得很不过有脸在地铁车厢那么干的人，你劝他是不会听的，甚至还可能大打出手如果你在地铁劝阻随地扔瓜子壳的大妈，你不知会收获多少白眼，和谩骂,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有没有道德心，这里是公共场所不是你自己家，想干嘛就干嘛，把他鞋踢出算轻的，就应该把他人也拖出去，给他好好上一课,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场合脱鞋本来就不应该，把鞋踢出车厢也是应该受的教训自己家你可以横行霸道，社会上没人惯着你！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有脚气真的很难闻（部分），而且脱了鞋还敲着二郎腿真的很没形象的,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,狭路相逢，没素质的遇上更没素质的！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这种不文明情况确实让人反感，但踢鞋出门的乘客也是够狠的，直接釜底抽薪，希望脱鞋乘客能深刻认识到问题所在，有则改之！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 多少有点个人情绪，不过看着就过瘾，这是咋回事,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,值得全国推广,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,做了大部分人想做没做的事，干得漂亮！！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,以前租房的对门，总是把鞋放在过道里，而且很臭，说几次也没用，后来每天早上上班，就把他的鞋踢到下面楼道里，或者嚼口香糖吐在他鞋里面，再后来他就收回去了,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场所一举一动都要考虑影响，任何不妥行为只能丢人现眼,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,可以先提醒一下，如果无动于衷，那就只等说网友干的漂亮！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有人说可以提醒他一下提醒个什么劲儿啊？这种人有什么提醒的必要啊？他能干出这种缺德事儿，说明你怎么提醒都没有用倒不如让他损失一只鞋啊，不对，是一双鞋这事儿对他的打击比你提醒他一次，让他在众人面前丢脸的打击要大的多的多,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,你跟他讲道理，他跟你耍流氓你跟他耍流氓，他跟你讲法律，所以有些事只能用魔法来打败…,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我觉得脱鞋没什么不好吧，我就喜欢脱鞋，我的脚平时都是香的，把鞋脱掉之后香味很快就能扩散到周围，为什么会反感呢,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,在地铁还脱鞋子??这脚气味好重，别的人嗅到了肯定会熏死，一点都不文明,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,活该虽然我干不出来这事（怂)，但不妨碍我看热闹不嫌事大,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 对于这种情况，我只想说四个字：干得漂亮！！！！问就是被地铁上脱鞋的人臭吐过,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干的不错，值得表扬哈哈哈，要不然难看死了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,以暴制暴、以惡制惡不是好的、正確作法只會讓這世界更加充滿憤怒與怨念雖然當我聽到莫名的的吵雜、喇叭聲闖紅燈、公眾抽菸、亂丟垃圾等等我也很想捉弄對方還是忍下來了想想我自己是不是也有讓人皺眉、厭惡的習慣呢？！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,摆拍吧？如果人家也不是气味很大经提醒不听，这样做肯定是不妥的，虽然看起来好像很解气？,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干了我一直想干的事，在公共车辆脱鞋的迟早给你干飞,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,为啥我们都觉得踢的好？乘客你得心里有数公共场合，个人的言行举止更要注意，你臭到我了,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得好如果是我，我也这么干，简直不要太爽,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有网友说，看着虽然解气，但是这名乘客涉嫌损坏他人财物，把鞋给踢没了我倒觉得这名乘客不是特意的，地上有个垃圾，没看着，着急下车就给踢出去了但是你再给踢到下一班车就不对了，一来显得你是故意的，二来下一班车招你了吗？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,  干得好啊，这就叫恶人自有恶人磨,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,对待流氓最好的方式，就是用更流氓的方式去征服,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,素质问题吧这是,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,建议全国推广,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,对素质低的人素质低真的很快乐 凭什么你可以在公众场合低素质,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,我好想说干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 喜闻乐见，大快人心,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,大哥这一看就不是故意的，他是着急下车，不小心碰出去的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场所还是要注意虽然这么做可能不当，但是不得不说很解气一般有脸在地铁车厢这么干的人，你劝他是不会听的，甚至还可能打你骂你,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈这是第多少个正义之士这么做了 如果让我遇到了 也必须向他看齐 公共场合不讲素质的人真的是恶,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,看了评论，都是经验教训，实践证明，行动最有效，语言太无力,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干得漂亮！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈做的好，做了我一直以来不敢做的事情,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,学会了下次就这么干,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,不得不说，干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,在密闭空间脱鞋子真的很没有公德心啊～～完全不顾及周围的人的感受踢鞋子的这位仗义人士，佩服你是条好汉,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,做法欠妥，但是解气,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,支持这些人心里是知道会招人烦的，就是因为没有代价才会我行我素没皮没脸的人都不怕谴责,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 考虑一下呗，等下一辆车到站，再把鞋子踢进去,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 干的漂亮！我去澳洲，飞机上一个中国大爷脱了鞋，搞的臭了十几个小时，要命啊这种没素质的人，就该好好整治整治，自己的脚多臭，一点B数都没有,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 胆大 勇敢 正义 喜闻乐见,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,地铁车厢脱鞋，他人看不过眼把人家鞋子踢出车厢肯定不对，提出批评就可以了，其实两人都是无礼貌和质素低的表现,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈干得漂亮 就应该小惩一下这些没素质的人,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,脱鞋的行为不好，踢鞋的行为不对,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,有的人素质就那样，你提醒他也没用的！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,一般能在公众场合做出脱鞋子这种没素质的事情的，就算你看到了，去提醒也无济于事，可能还会跟你吵架，骂你多管闲事把鞋子提出车厢这种事，那不得大夸一遍,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这些看似纯属个人行为，但在公共空间里却是缺乏公共意识的表现，是一种不文明的行为这些让人难以忍受的气味和声音，会影响到其他乘客坐地铁的舒适度,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,好！非常好！嗯，对没有素质的人不必有素质,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,女乘客？看不太清，这种踢法不妥吧，应该当面批评教育啊,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,反正我看了很舒服,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,对付贱人就不需要温和的提醒，想要鞋再自个光着脚坐回去,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,人先自重而后人敬之,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈哈好勇啊做了我不敢做的事,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,你不喜欢就要损坏其他公民的财物，那别人也可以为了保护财物打你？？？城管也可以为了疏通道路而踢翻摊贩？？？,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,这直接踹下去不大好吧，我觉得还是善意的提醒比较好一点，直接踹下去人家的鞋还要不要了啊！这鞋又不是免费的，也是人家买的，也不能随意地替人家搞掉吧 铃昕点邢的微博视频,1,0,0,0,0,1,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,首先这样做不道德，其次干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场合一点都不注意别人的感受，怎么会有这样的人呢,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,建议地铁上出一条新规定，有人脱鞋其他人有权利把他的鞋踢出去，并对踢鞋人提供法律保障,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,尊重是相互的,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,哈哈哈哈做了我不敢做的事笑不活了,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然但是看着很解气呀，有些人你跟他说不好使就得用魔法打败魔法毕竟这种人他本身素质就不好，影响的是整车人所以这个好汉干的漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,其实我素质也不好，因为我想说，干得漂亮,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,干了多少人心里想干却不敢干的事！公共场合，考验大众素质，地铁里东倒西歪的，跷二郎腿的，脱鞋剪指甲的，包裹占座的……各种丑态应有尽有,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然说很不道德，但是就是特别的帅,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 有时候恶作剧的教育意义并不亚于一场教育课,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢, 这脱鞋的莫不是把地铁当自家的车了吧我只想说：干得好！,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然说这样做不道德，但是爽,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,公共场合，本来就应该互相尊重,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,你看脱鞋多么离谱，好离谱啊，让我不得不夸夸把鞋踢到外面的人虽然不提倡，但我觉得值得夸赞,1,0,0,0,0,0,0,1,0,1
乘客地铁脱鞋，男子将鞋踢出车厢,虽然说这样做是不道德的，但是干得漂亮,1,0,0,0,0,0,0,1,0,1
